n,penalty,F_thr,nsteps,T_0,T_f,t_star,F_at_t_star,n_evals
2,1,0.9,2000,15,1500,147.16604232788086,0.8999960081455768,20
2,5,0.9,2000,15,1500,126.78400039672852,0.9000015319596649,20
2,10,0.9,2000,15,1500,135.0999641418457,0.8999994761264867,20
2,15,0.9,2000,15,1500,148.8654899597168,0.8999979786041452,20
2,20,0.9,2000,15,1500,161.7359733581543,0.9000052449272427,20
2,30,0.9,2000,15,1500,188.2246971130371,0.8999959730175683,20
3,5,0.9,2000,15,1500,1032.8728294372559,0.9000000335430174,20
3,10,0.9,2000,15,1500,849.2418479919434,0.9000002589492622,20
3,15,0.9,2000,15,1500,775.689754486084,0.9000008521275036,20
3,20,0.9,2000,15,1500,738.0186653137207,0.899999482750488,20
3,30,0.9,2000,15,1500,708.618221282959,0.9000006817948711,20
